"contract_id","panel_order","panel_sha256","reference_feature_id","reference_gene","ensembl_stable_id","donors_missing_stable_id","donors_with_one_exact_symbol_candidate","symbol_only_candidate_ids","symbol_only_rescue_applied","disposition"
"mv08d_hca_missing_panel_summary_v1",110,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC022431.1-ENSG00000226221.1","AC022431.1","ENSG00000226221",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",111,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC024293.1-ENSG00000244313.3","AC024293.1","ENSG00000244313",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",118,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC010343.1-ENSG00000240376.1","AC010343.1","ENSG00000240376",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",120,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC008021.1-ENSG00000235297.3","AC008021.1","ENSG00000235297",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",126,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","GPX1-ENSG00000233276.3","GPX1","ENSG00000233276",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",127,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC007969.1-ENSG00000233762.3","AC007969.1","ENSG00000233762",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",212,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC026403.1-ENSG00000229119.3","AC026403.1","ENSG00000229119",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",219,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","SNHG6-ENSG00000245910.8","SNHG6","ENSG00000245910",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",230,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","FO393411.1-ENSG00000180211.5","FO393411.1","ENSG00000180211",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",239,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","MTCO1P12-ENSG00000237973.1","MTCO1P12","ENSG00000237973",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",296,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC004453.1-ENSG00000146677.7","AC004453.1","ENSG00000146677",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",317,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC096919.1-ENSG00000226360.5","AC096919.1","ENSG00000226360",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",330,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC074033.1-ENSG00000213178.3","AC074033.1","ENSG00000213178",8,8,"ENSG00000241479",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",418,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AC079250.1-ENSG00000230979.3","AC079250.1","ENSG00000230979",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
"mv08d_hca_missing_panel_summary_v1",442,"48e881ee753893bfaecd7101fc16fbcb552dd30a2a791fedfc7204d7b322a32e","AL590867.2-ENSG00000218426.5","AL590867.2","ENSG00000218426",8,0,"",FALSE,"excluded_from_proposed_common475_not_imputed"
