"contract_id","panel_order","panel_feature_id","panel_gene","ensembl_stable_id","ensembl93_gene_version","ensembl93_gene_name","ensembl93_gene_biotype","cellranger_3_0_0_filter_status","current_ensembl_lookup_present","current_ensembl_display_name","crosswalk_can_restore_matrix_count"
"mv08e_missing_biotype_reconciliation_v1","111","AC024293.1-ENSG00000244313.3","AC024293.1","ENSG00000244313","3","AC024293.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","118","AC010343.1-ENSG00000240376.1","AC010343.1","ENSG00000240376","1","AC010343.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","120","AC008021.1-ENSG00000235297.3","AC008021.1","ENSG00000235297","3","FAUP1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","FAUP1","FALSE"
"mv08e_missing_biotype_reconciliation_v1","126","GPX1-ENSG00000233276.3","GPX1","ENSG00000233276","4","GPX1","polymorphic_pseudogene","excluded_by_documented_biotype_filter","TRUE","GPX1","FALSE"
"mv08e_missing_biotype_reconciliation_v1","127","AC007969.1-ENSG00000233762.3","AC007969.1","ENSG00000233762","3","AC007969.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPS15P4","FALSE"
"mv08e_missing_biotype_reconciliation_v1","212","AC026403.1-ENSG00000229119.3","AC026403.1","ENSG00000229119","3","AC026403.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPLP0P9","FALSE"
"mv08e_missing_biotype_reconciliation_v1","219","SNHG6-ENSG00000245910.8","SNHG6","ENSG00000245910","8","SNHG6","processed_transcript","excluded_by_documented_biotype_filter","TRUE","SNHG6","FALSE"
"mv08e_missing_biotype_reconciliation_v1","230","FO393411.1-ENSG00000180211.5","FO393411.1","ENSG00000180211","5","FO393411.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL23P6","FALSE"
"mv08e_missing_biotype_reconciliation_v1","239","MTCO1P12-ENSG00000237973.1","MTCO1P12","ENSG00000237973","1","MTCO1P12","unprocessed_pseudogene","excluded_by_documented_biotype_filter","TRUE","MTCO1P12","FALSE"
"mv08e_missing_biotype_reconciliation_v1","296","AC004453.1-ENSG00000146677.7","AC004453.1","ENSG00000146677","7","AC004453.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL32P18","FALSE"
"mv08e_missing_biotype_reconciliation_v1","317","AC096919.1-ENSG00000226360.5","AC096919.1","ENSG00000226360","5","RPL10AP6","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL10AP6","FALSE"
"mv08e_missing_biotype_reconciliation_v1","330","AC074033.1-ENSG00000213178.3","AC074033.1","ENSG00000213178","3","RPL22P1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","RPL22P1","FALSE"
"mv08e_missing_biotype_reconciliation_v1","418","AC079250.1-ENSG00000230979.3","AC079250.1","ENSG00000230979","3","AC079250.1","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
"mv08e_missing_biotype_reconciliation_v1","442","AL590867.2-ENSG00000218426.5","AL590867.2","ENSG00000218426","5","AL590867.2","processed_pseudogene","excluded_by_documented_biotype_filter","TRUE","","FALSE"
